timestamp,windAvg,windDegrees,windMin,windMax,temperature
1718517477605,3.6,130.0,2.6,5.7,16.6
1718517507804,3.6,130.0,2.6,5.7,16.6
1718517538002,3.6,130.0,2.6,5.7,16.5
1718517568203,3.6,130.0,2.6,5.7,16.5
1718517598397,3.6,130.0,2.6,5.7,16.4
1718517628595,3.6,130.0,2.6,5.7,16.4
1718517658793,3.6,130.0,2.6,5.7,16.4
1718517688989,3.6,130.0,2.6,5.7,16.4
1718517719190,3.6,130.0,2.6,5.7,16.4
1718517749385,3.6,130.0,2.6,5.7,16.4
1718517779584,3.6,130.0,2.6,5.7,16.4
1718517809782,3.6,130.0,2.6,5.7,16.4
1718517839979,3.6,130.0,2.6,5.7,16.4
1718517870180,3.6,130.0,2.6,5.7,16.4
